This is Ultimate 0.1.23-3204b74
  - StatisticsResult: automata script interpreter benchmark results
    {ATS_ID=complement(fha_7), OPERATION_NAME=complement, RUNTIME_TOTAL_MS=49}
  - StatisticsResult: automata script interpreter benchmark results
    {ATS_ID=intersect(nfa_6, complement(fha_7)), OPERATION_NAME=intersect, RUNTIME_TOTAL_MS=2}
  - StatisticsResult: automata script interpreter benchmark results
    {ATS_ID=complement(fha_8), OPERATION_NAME=complement, RUNTIME_TOTAL_MS=41}
  - StatisticsResult: automata script interpreter benchmark results
    {ATS_ID=intersect(nfa_7, complement(fha_8)), OPERATION_NAME=intersect, RUNTIME_TOTAL_MS=3}
  - StatisticsResult: automata script interpreter benchmark results
    {ATS_ID=complement(fha_9), OPERATION_NAME=complement, RUNTIME_TOTAL_MS=4}
  - StatisticsResult: automata script interpreter benchmark results
    {ATS_ID=intersect(nfa_8, complement(fha_9)), OPERATION_NAME=intersect, RUNTIME_TOTAL_MS=8}
  - StatisticsResult: automata script interpreter benchmark results
    {ATS_ID=complement(fha_10), OPERATION_NAME=complement, RUNTIME_TOTAL_MS=58}
  - StatisticsResult: automata script interpreter benchmark results
    {ATS_ID=intersect(nfa_9, complement(fha_10)), OPERATION_NAME=intersect, RUNTIME_TOTAL_MS=5}
  - StatisticsResult: automata script interpreter benchmark results
    {ATS_ID=complement(fha_11), OPERATION_NAME=complement, RUNTIME_TOTAL_MS=57}
  - StatisticsResult: automata script interpreter benchmark results
    {ATS_ID=intersect(nfa_10, complement(fha_11)), OPERATION_NAME=intersect, RUNTIME_TOTAL_MS=6}
  - StatisticsResult: automata script interpreter benchmark results
    {ATS_ID=complement(fha_12), OPERATION_NAME=complement, RUNTIME_TOTAL_MS=111}
  - StatisticsResult: automata script interpreter benchmark results
    {ATS_ID=intersect(nfa_11, complement(fha_12)), OPERATION_NAME=intersect, RUNTIME_TOTAL_MS=5}
  - StatisticsResult: automata script interpreter benchmark results
    {ATS_ID=complement(fha_13), OPERATION_NAME=complement, RUNTIME_TOTAL_MS=76}
  - StatisticsResult: automata script interpreter benchmark results
    {ATS_ID=intersect(nfa_12, complement(fha_13)), OPERATION_NAME=intersect, RUNTIME_TOTAL_MS=5}
  - StatisticsResult: automata script interpreter benchmark results
    {ATS_ID=complement(fha_14), OPERATION_NAME=complement, RUNTIME_TOTAL_MS=100}
  - StatisticsResult: automata script interpreter benchmark results
    {ATS_ID=intersect(nfa_13, complement(fha_14)), OPERATION_NAME=intersect, RUNTIME_TOTAL_MS=15}
  - StatisticsResult: automata script interpreter benchmark results
    {ATS_ID=complement(fha_15), OPERATION_NAME=complement, RUNTIME_TOTAL_MS=134}
  - StatisticsResult: automata script interpreter benchmark results
    {ATS_ID=intersect(nfa_14, complement(fha_15)), OPERATION_NAME=intersect, RUNTIME_TOTAL_MS=5}
  - StatisticsResult: automata script interpreter benchmark results
